doc_id,DEPTH,EQUIPMENT,MEASUREMENT_BAR,MEASUREMENT_DEG,MEASUREMENT_KNM,MEASUREMENT_LPM,MEASUREMENT_M3,MEASUREMENT_MT,MEASUREMENT_RPM,MEASUREMENT_SG,TIME_REF
15_9_19_A_1997_11_08.pdf,0,24,0,0,0,0,0,0,0,0,0
15_9_19_A_1997_11_09.pdf,120,14,12,0,0,0,0,0,12,12,13
15_9_19_A_1997_11_10.pdf,24,0,12,0,0,0,0,0,0,0,13
15_9_19_BT2_1997_12_06.pdf,13,0,0,0,0,0,0,0,0,0,12
15_9_19_BT2_1997_12_07.pdf,51,0,0,0,0,0,0,12,0,0,24
15_9_19_BT2_1997_12_08.pdf,61,60,12,0,0,36,0,12,12,0,36
15_9_19_BT2_1997_12_09.pdf,110,36,12,0,0,24,0,0,0,0,12
15_9_19_BT2_1997_12_10.pdf,146,48,36,0,0,36,0,60,0,0,12
15_9_19_BT2_1997_12_11.pdf,60,48,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1997_12_12.pdf,242,52,20,0,0,30,0,30,0,0,0
15_9_19_BT2_1997_12_13.pdf,210,68,0,0,0,0,0,33,0,0,0
15_9_19_BT2_1997_12_14.pdf,73,50,24,0,0,24,0,60,0,0,0
15_9_19_BT2_1997_12_15.pdf,121,73,31,0,0,10,0,60,0,20,10
15_9_19_BT2_1997_12_16.pdf,36,97,36,0,0,0,0,0,0,0,48
15_9_19_BT2_1997_12_17.pdf,36,75,12,0,0,0,0,0,0,0,0
15_9_19_BT2_1997_12_18.pdf,73,86,24,0,0,48,0,0,12,12,0
15_9_19_BT2_1997_12_19.pdf,132,3,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1997_12_20.pdf,56,78,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1997_12_21.pdf,133,63,0,0,0,0,0,0,0,0,12
15_9_19_BT2_1997_12_22.pdf,62,50,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1997_12_23.pdf,75,15,0,0,0,0,0,0,0,0,24
15_9_19_BT2_1997_12_24.pdf,73,73,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1997_12_25.pdf,74,38,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1997_12_26.pdf,110,3,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1997_12_27.pdf,86,39,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1997_12_28.pdf,50,61,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1997_12_29.pdf,114,44,0,0,0,0,0,0,0,22,11
15_9_19_BT2_1997_12_30.pdf,87,13,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1997_12_31.pdf,146,13,0,0,0,0,0,0,0,0,0
