activity_label,count
OTHER,39819
REPAIR,21837
DRILL,19399
CIRCULATE,18573
TRIP_IN,17393
TRIP_OUT,16913
PUMP,12283
CEMENT,8674
EQUIPMENT_FAILURE,4215
CUT,3838
WAIT,3360
SURVEY,3144
DISPLACE,3105
FISHING,2998
PRESSURE_TEST,2312
